name,latitude,longitude,google_id,attributes,popular_times
Col·legi Jesús-Maria Sant Gervasi,41.40962676260745,2.1321227367298,ChIJ4XbFxRGYpBIRpY003gWXSho,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",
Seu del Districte de Sarrià - Sant Gervasi,41.39912976584916,2.1214123028583627,ChIJu1PUIEGYpBIR034KPv7909A,"[""establishment"", ""point_of_interest""]",
El Born Centre de Cultura i Memòria,41.38567300413077,2.183585604443325,ChIJc0WMe_GipBIR_EfbMXL48cY,"[""establishment"", ""museum"", ""point_of_interest"", ""tourist_attraction""]",
Junta d'Obres del Port,41.37792481602983,2.1782341227997044,ChIJU5YVrlaipBIRpJKLtQ9fRF4,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Reial Club Nàutic de Barcelona,41.377238724292056,2.1830264347318584,ChIJFz_IiFSipBIRQzUUV1pakJw,"[""establishment"", ""point_of_interest""]",
Arc de Triomf,41.39108086341498,2.1807039051520003,ChIJoXZqNuOipBIRsZU39a8r_qk,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Bellesguard,41.40916538840938,2.126832670465789,ChIJRaITNRaYpBIRUpIaGZLkkZQ,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Casa Pomar,41.39563961765683,2.170281440902392,ChIJp6aFCwCjpBIRh2pAwUV-sqk,"[""establishment"", ""point_of_interest""]",
Casa Queraltó,41.39305633370552,2.161061569869412,ChIJJbU7cACjpBIRyXz-d07s_Bs,"[""establishment"", ""point_of_interest""]",
Casa Jaume Forn,41.395288179555614,2.166550686689944,ChIJD3XgjdejpBIRcwPueHGB-TI,"[""establishment"", ""point_of_interest""]",
Casa Almirall,41.38238921399351,2.165929295607357,ChIJQcWPFfWipBIR0v4d-e63BRI,"[""bar"", ""establishment"", ""point_of_interest""]",
Casa Santurce,41.39560141763696,2.166965615442641,ChIJywjThuyipBIRKt5reGr4j64,"[""establishment"", ""point_of_interest""]",
Casa Jeroni Granell,41.39014919657067,2.1613897653246257,ChIJx3R3c4uipBIRkYdPUh6sP3E,"[""establishment"", ""point_of_interest"", ""university""]",
Casa Vallet I Xiró,41.39698989040617,2.166908231079334,ChIJx6rSdeuipBIR5NXjRezSXxk,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Carrer de Canet,41.39869925444347,2.1234442569006,ChIJbcsnpkGYpBIRyZ6w8kosluI,"[""route""]",
Dipòsit del Rei Martí,41.40886213744492,2.1271686577385576,ChIJtfl3ThaYpBIRs0QBTUMOZ2A,"[""establishment"", ""museum"", ""point_of_interest""]",
Centre Cívic El Coll - La Bruguera,41.41860650477411,2.149915320833742,ChIJc8rpf6uipBIRnss3Qd8oaAg,"[""establishment"", ""point_of_interest""]",
Parc de Can Sabaté,41.36437449049291,2.137749555318519,ChIJ380J8JiYpBIRsDxRH-H6AA8,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
Jardins Baix Guinardó,41.40977850723608,2.168658421542334,ChIJvbo4PsaipBIRX4EWvNCefdA,"[""establishment"", ""park"", ""point_of_interest"", ""tourist_attraction""]",
Jardinets de Can Fabra,41.434925914293984,2.191738858342075,ChIJC2eckdu8pBIRSVN4H6RHxcs,"[""establishment"", ""park"", ""point_of_interest""]",
